ID,LAND_NR,Partei_NR,Partei_ABK,Name,TW_acc,TW_user,TW_id,TW_verif,gescraped?
587,7,4,FDP,"Brandenburg, Mario",1,BraFDP,8.02968497831739E+017,2,ja
591,9,7,CSU,"Brandl, Dr. Reinhard",1,reinhardbrandl,262730721,2,ja
593,16,3,AfD,"Brandner, Stephan Günther",1,StBrandner,7.13361366858482E+017,1,ja
599,8,6,GRÜNE,"Brantner, Dr. Franziska Katharina",1,fbrantner,32323724,1,ja
606,6,1,CDU,"Braun, Dr. Helge Reinhold",1,HBraun,19108071,1,ja
608,8,3,AfD,"Braun, Jürgen Friedrich",1,JuergenBraunAfD,9.17756296555893E+017,1,ja
617,3,1,CDU,"Breher, Silvia Maria",1,BreherSilvia,1.33705681056655E+018,2,ja
622,9,7,CSU,"Brehm, Sebastian",1,Brehm_inNBGNord,9.04304932257493E+017,1,ja
623,15,1,CDU,"Brehmer, Heike Martina",1,HeikeBrehmerMdB,150372237,1,ja
625,5,1,CDU,"Breilmann, Michael",1,m_breilmann,8.93027627568697E+017,2,ja
639,8,2,SPD,"Breymaier, Leni",1,LeniBreymaier,7.48453543632331E+017,1,ja
643,5,1,CDU,"Brinkhaus, Ralph",1,rbrinkhaus,38001527,1,ja
677,8,6,GRÜNE,"Brugger, Agnes Monika",1,agnieszka_mdb,172269309,1,ja
691,3,6,GRÜNE,"Bsirske, Frank",1,FBsirske,1.41975120446536E+018,0,ja
692,9,4,FDP,"Bubendorfer-Licht, Sandra",1,Bubendorferfdp,8.87343634647003E+017,1,ja
709,16,3,AfD,"Bühl, Marcus",1,Marcus_Buehl,7.29360191263781E+017,1,ja
737,8,1,CDU,"Bury, Yannick",1,YannickBury,33738797,2,ja
742,5,4,FDP,"Buschmann, Dr. Marco",1,MarcoBuschmann,106136813,1,ja
745,5,4,FDP,"Busen, Karlheinz",1,busen_mdb,9.35554963639558E+017,1,ja
753,9,3,AfD,"Bystron, Petr",1,PetrBystronAfD,8.10957560723505E+017,2,ja
754,8,2,SPD,"Cademartori Dujisin, Isabel Andrea",1,isacademartori,204259229,1,ja
768,8,2,SPD,"Castellucci, Dr. Lars",1,larscastellucci,17469649,1,ja
786,8,6,GRÜNE,"Christmann, Dr. Anna Maria",1,annachristmann,1617177360,1,ja
788,14,3,AfD,"Chrupalla, Tino",1,Tino_Chrupalla,7.97137333820785E+017,1,ja
